"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome"
,"K562","10M","CM","CJUN",,,"CM15-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#cJUN_K562_10mio_CM_CM15_3.bam","hg19"
,"K562","10M","CHIP","CJUN",,,"CM15-7",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#cJUN_K562_10mio_ChIP_CM15_7.bam","hg19"
,"K562","10M","CM","CJUN",,,"CM22-3",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_cJUN_CM22_3_R1_1.bam","hg19"
,"K562","10M","CHIP","CJUN",,,"CM22-8",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_cJUN_CM22_8_R1_1.bam","hg19"
,"K562","2M","CM","CJUN",,,"CM13-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0111_C568EACXX/BSF_0111_C568EACXX_4_samples/BSF_0111_C568EACXX_4#CM13_2_c_Jun_2mio.bam","hg19"
,"K562","500K","CM","CJUN",,,"ChIP15-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#Chip15_2_cJUN_500k_TAG.bam","hg19"
,"K562","500K","CHIP","CJUN",,,"CM15-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#ChIP15_6_cJUN_500k_normChIP.bam","hg19"
,"K562","100K","CM","CTCF",,,"CM26-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_100k_CM_CTCF_CM26_2_R1_1.bam","hg19"
,"K562","10M","CM","CTCF",,,"CM15-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_3_samples/BSF_0120_C5CVMACXX_3#CM15_2_CTCF_10mio_TAG.bam","hg19"
,"K562","10M","CHIP","CTCF",,,"CM15-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#CTCF_K562_10mio_ChIP_CM15_6.bam","hg19"
,"K562","10M","CM","CTCF",,,"CM16-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#CTCF_K562_10mio_CM_CM16_2.bam","hg19"
,"K562","10M","CHIP","CTCF",,,"CM16-4",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_5_samples/BSF_0127_C5CJ1ACXX_5#PU1_K562_10mio_ChIP_CM16_4.bam","hg19"
,"K562","500K","CHIP","CTCF",,,"CM15-7",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#ChIP15_7_CTCF_500k_normChIP.bam","hg19"
,"K562","500K","CM","CTCF",,,"ChIP15-1",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#Chip15_1_PU1_500k_TAG.bam","hg19"
,"K562","100K","CM","FLI1",,,"CM26-5",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_100k_CM_FLI1_CM26_5_R1_1.bam","hg19"
,"K562","10M","CM","GATA1",,,"CM21-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_GATA1_CM21_1_R1_1.bam","hg19"
