"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome"
,"K562","100K","CM","PU1",,,"CM26-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_100k_CM_PU1_CM26_1_R1_1.bam","hg19"
,"K562","10K","CM","H3K27AC",,,"CM13-5",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0111_C568EACXX/BSF_0111_C568EACXX_4_samples/BSF_0111_C568EACXX_4#CM13_5_H3K27ac_10k.bam","hg19"
,"K562","10M","CHIP","CJUN",,,"CM15-7",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#cJUN_K562_10mio_ChIP_CM15_7.bam","hg19"
,"K562","10M","CHIP","CJUN",,,"CM22-8",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_cJUN_CM22_8_R1_1.bam","hg19"
,"K562","10M","CHIP","CTCF",,,"CM16-4",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_5_samples/BSF_0127_C5CJ1ACXX_5#PU1_K562_10mio_ChIP_CM16_4.bam","hg19"
,"K562","10M","CHIP","GATA1",,,"CM21-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_GATA1_CM21_4_R1_1.bam","hg19"
,"K562","10M","CHIP","GATA1",,,"CM21-4",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_GATA1_CM21_4_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K27AC",,,"CM21-5",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_H3K27ac_CM21_5_R1_1.bam","hg19"
,"K562","10M","CHIP","IGG",,,"CM22-10",3,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_IgG_CM22_10_R1_1.bam","hg19"
,"K562","10M","CHIP","IGG",,,"CM15-8",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#IgGrab_K562_10mio_ChIP_CM15_8.bam","hg19"
,"K562","10M","CHIP","IGG",,,"CM16-6",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_5_samples/BSF_0127_C5CJ1ACXX_5#IgGrab_K562_10mio_ChIP_CM16_6.bam","hg19"
,"K562","10M","CHIP","IGG",,,"CM21-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_10mio_ChIP_IgG_CM21_6_R1_1.bam","hg19"
,"K562","10M","CM","H3K27AC",,,"CM21-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_H3K27ac_CM21_2_R1_1.bam","hg19"
,"K562","10M","CM","IGG",,,"CM21-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_IgG_CM21_3_R1_1.bam","hg19"
,"K562","10M","CM","IGG",,,"CM15-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#IgGrab_K562_10mio_CM_CM15_4.bam","hg19"
,"K562","10M","CM","PU1",,,"CM15-1",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0129_C5HM7ACXX/BSF_0129_C5HM7ACXX_8_samples/BSF_0129_C5HM7ACXX_8#PU1_K562_10mio_CM_CM15_1.bam","hg19"
,"K562","10M","CM","PU1",,,"CM15-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_3_samples/BSF_0120_C5CVMACXX_3#CM15_1_PU1_10mio_TAG.bam","hg19"
,"K562","10M","CM","REST",,,"CM22-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_REST_CM22_2_R1_1.bam","hg19"
,"K562","10M","CM","REST",,,"CM22-2",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_REST_CM22_2_R1_1.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM11-9",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM12-9",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CM","H3K27ME3",,,"CM11-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_2_H3K27me3_500k_TAG.bam","hg19"
,"K562","500K","CM","H3K4ME3",,"02ULTN5_PE","CM25-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_CM_H3K4me3_0_2ulTn5_CM25_1_R1_1.bam","hg19"
