"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome","readType","readLength","controlSampleName","controlSampleFilePath","peakFile"
"K562_10M_CHIP_CJUN_nan_nan_0_0_hg19","K562","10M","CHIP","CJUN",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19/K562_10M_CHIP_CJUN_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_CJUN_nan_nan_1_1_hg19","K562","10M","CHIP","CJUN",,,"CM15-7",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_1_1_hg19",,
"K562_10M_CHIP_CJUN_nan_nan_2_1_hg19","K562","10M","CHIP","CJUN",,,"CM22-8",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19/K562_10M_CHIP_CJUN_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_10M_CM_CJUN_nan_nan_0_0_hg19","K562","10M","CM","CJUN",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CJUN_nan_nan_0_0_hg19/K562_10M_CM_CJUN_nan_nan_0_0_hg19_peaks.narrowPeak"
"K562_10M_CM_CJUN_nan_nan_1_1_hg19","K562","10M","CM","CJUN",,,"CM15-3",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_1_1_hg19",,
"K562_10M_CM_CJUN_nan_nan_2_1_hg19","K562","10M","CM","CJUN",,,"CM22-3",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_CJUN_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_4_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_4_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_CJUN_nan_nan_2_1_hg19/K562_10M_CM_CJUN_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_2M_CM_CJUN_nan_nan_1_1_hg19","K562","2M","CM","CJUN",,,"CM13-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_2M_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_500K_CHIP_CJUN_nan_nan_1_1_hg19","K562","500K","CHIP","CJUN",,,"CM15-6",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19/K562_500K_CHIP_CJUN_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_500K_CM_CJUN_nan_nan_1_1_hg19","K562","500K","CM","CJUN",,,"ChIP15-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_CJUN_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_CJUN_nan_nan_1_1_hg19/K562_500K_CM_CJUN_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_100K_CM_CTCF_nan_nan_1_1_hg19","K562","100K","CM","CTCF",,,"CM26-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_CTCF_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_100K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_100K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_100K_CM_CTCF_nan_nan_1_1_hg19/K562_100K_CM_CTCF_nan_nan_1_1_hg19_peaks.narrowPeak"
